Gene	log2FoldChange	pvalue	padj_BH	padj_BO
ENSG00000143772.9_3	-2.80247624205436	7.2654233159428e-12	9.52380994162956e-10	1.44058813508514e-07
ENSG00000038427.16_5	-1.78767548452814	7.4458264311396e-12	9.67895387494556e-10	1.47635846476636e-07
ENSG00000138613.14_4	-1.54306441366546	7.54882356040277e-12	9.73174369576221e-10	1.49678073555666e-07
ENSG00000067225.18_5	-0.564042287046348	7.6452148625962e-12	9.77522185587198e-10	1.51589320295557e-07
ENSG00000128918.15_4	-3.12774800347575	1.01844657856797e-11	1.29160554301478e-09	2.01937587598457e-07
ENSG00000183963.18_6	-1.2335979844005	1.10181875849351e-11	1.38607022691453e-09	2.18468623434092e-07
ENSG00000106460.19_6	-0.870526227249858	1.15700152564914e-11	1.44384534388807e-09	2.29410262505711e-07
ENSG00000147041.12_5	1.36933287429465	1.23405648161409e-11	1.52778151243636e-09	2.44688719174441e-07
ENSG00000089177.18_3	-1.09761703779885	1.27250173606839e-11	1.5629728016481e-09	2.52311644227641e-07
ENSG00000114850.6_2	-0.565233967889031	1.56663509115282e-11	1.909214123976e-09	3.1063240587378e-07
ENSG00000065357.20_4	-1.68639966009175	1.73255149401702e-11	2.07892851962858e-09	3.43530310233696e-07
ENSG00000115514.12_4	-1.15201301402874	1.73237045645471e-11	2.07892851962858e-09	3.43494414105841e-07
ENSG00000130702.15_3	-1.11883836322847	1.7714146260562e-11	2.10250647670172e-09	3.51236092054424e-07
ENSG00000138386.17_5	-0.78949037518546	1.77915799041366e-11	2.10250647670172e-09	3.5277144633922e-07
ENSG00000136531.16_5	-2.41939451609462	2.03005127933944e-11	2.38096014333954e-09	4.02518567667424e-07
ENSG00000103335.22_4	-1.09312721291883	2.0781675422747e-11	2.41920414118978e-09	4.12059060282228e-07
ENSG00000183798.5_3	-0.957142957125501	2.10940443315319e-11	2.43737775946346e-09	4.18252711005615e-07
ENSG00000107104.18_3	-1.17496115655232	2.18056689350018e-11	2.50107815968451e-09	4.32362803643215e-07
ENSG00000101417.12_3	-9.81493285547424	2.20676609904149e-11	2.51265287437578e-09	4.37557582117947e-07
ENSG00000101017.13_6	-1.8402146567995	2.36785857017075e-11	2.67653810406474e-09	4.69498997293455e-07
ENSG00000100426.7_4	0.615437265551502	2.70629071388988e-11	3.03708121194016e-09	5.36603322750085e-07
ENSG00000219481.10_3	0.725883092447762	2.82895526722598e-11	3.15206237238987e-09	5.60925250385568e-07
ENSG00000075826.17_4	1.28327945186471	2.8493555385486e-11	3.15227638622834e-09	5.64970216183416e-07
ENSG00000144354.14_4	-0.588186660108826	2.92585742090398e-11	3.2141161907522e-09	5.80139009416842e-07
ENSG00000144674.16_5	0.591040643585804	3.078506858872e-11	3.35815583856953e-09	6.1040633997714e-07
ENSG00000185414.20_4	-0.990155338143773	3.2269797236967e-11	3.49567060485728e-09	6.39845539614581e-07
ENSG00000132256.18_3	-3.47265108574302	3.64936425851755e-11	3.92596090128381e-09	7.2359594517886e-07
ENSG00000105971.15_3	-1.27104084409966	3.74725247144068e-11	4.00365693849337e-09	7.43005220037259e-07
ENSG00000086619.13_2	-0.953940054427389	3.86102669792572e-11	4.09715343271723e-09	7.65564373664712e-07
ENSG00000123607.15_3	-1.08060934644251	4.15068233710806e-11	4.37476309301005e-09	8.22997293801787e-07
ENSG00000135750.14_2	-1.73274817922414	4.25232618035811e-11	4.45181450251048e-09	8.43151235041405e-07
ENSG00000127022.15_4	-0.602178885653075	4.69017692082123e-11	4.87747131919269e-09	9.29968279860433e-07
ENSG00000185418.16_5	-0.844063605489332	5.12143337731212e-11	5.29067809620475e-09	1.01547781005345e-06
ENSG00000163166.15_4	-0.623638276012128	5.48028100649082e-11	5.6241383829112e-09	1.086630117967e-06
ENSG00000115525.18_6	-1.98990067321153	5.73650927815585e-11	5.8486149169904e-09	1.13743505967274e-06
ENSG00000188191.15_4	-1.60642506999781	6.06536487066347e-11	6.14374198814802e-09	1.20264054655515e-06
ENSG00000090447.12_3	0.879625806889673	6.21568222107864e-11	6.25538238494231e-09	1.23244547079547e-06
ENSG00000203326.11_4	-4.99861682174302	6.40555338056665e-11	6.40514276817046e-09	1.27009312429876e-06
ENSG00000078747.14_3	-0.646909828149406	6.78705214235079e-11	6.74339021455605e-09	1.34573669878532e-06
ENSG00000138685.15_5	-1.0161136223994	7.06667379515505e-11	6.97677497029264e-09	1.40118008010334e-06
